Data,Mes,Precipitacao,Insolacao,UmidadeAr,ProbabilidadePrecipitacao,UmidadeSolo1,UmidadeSolo2,UmidadeSolo3,UmidadeSolo4,Temperatura1,Temperatura2,Temperatura3,Temperatura4,QuantidadeAgua
2015-10-19,10,0,10.2,71,0.4,0.9,0.9,0.9,0.9,29.8,24.1,15.5,21.2,18.1
2015-10-20,10,0,10.3,58.8,0.4,1.6,1.6,1.6,1.6,35.4,28.1,17.1,24.4,21.3
2015-10-21,10,0,5.2,68.3,0.8,1.8,1.7,1.7,1.7,33,29.6,24.6,27.9,14.3
2015-10-22,10,32.6,4,86,0.8,6.8,0,0.1,0.1,29.4,25.7,20.1,23.8,14.8
2015-10-23,10,6.6,3,69.8,0,29.5,26.3,24.2,14.4,25.5,21.6,15.7,19.6,17.3
2015-10-24,10,0,10.2,72,0.1,4.6,4,3.5,3.1,26.4,23.3,18.6,21.7,12.9
2015-10-25,10,0,8.8,72.8,0.9,5.2,4.9,4.7,4.5,25.2,21.8,16.7,20.1,12.4
2015-10-26,10,11.8,8.2,75.3,0.9,22.5,19.7,17.9,10.5,31.1,26.1,18.6,23.6,11.3
2015-10-27,10,2.2,3.6,77.5,0.6,3,2.1,1.5,0.9,28.6,24.6,18.6,22.6,0
2015-10-28,10,0,1.8,72.5,0.2,3.9,3.6,3.5,2.3,26,23.4,19.7,22.2,0
2015-10-29,10,0,8.8,70.5,0.2,1.2,1.1,1,0.9,29.9,27,22.6,25.5,0
2015-10-30,10,0,10.7,61.5,0.3,1.2,1.2,1.1,0.9,32.1,26.9,19,24.2,10
2015-10-31,10,0,0.4,66,0.9,0.6,0.6,0.6,0.6,28.5,25.8,21.7,24.5,10.7
2015-11-01,11,25.8,0,90,0.9,5.9,0.1,0.1,0.1,22.7,21,18.5,20.2,11.8
2015-11-02,11,16.4,1.9,88,1,7.8,0.1,0.1,0.1,28,25,20.4,23.5,17.6
2015-11-03,11,0.9,0.5,95,0.9,15.4,14,13.1,12.2,27.2,25.2,22.1,24.2,21.8
2015-11-04,11,13.4,2,94,0.8,19.4,13.4,9.3,5.3,27.3,24,19.1,22.3,11.2
2015-11-05,11,23.4,0.5,90,0.1,44.9,38.8,34.8,22.7,27.9,25.2,21.2,23.8,10.3
2015-11-06,11,0,0.6,75,0.9,10.6,9,7.9,6.8,22.3,20.7,18.2,19.8,6.2
2015-11-07,11,1,2.5,77,0.3,11.2,8.6,6.9,4.1,25.6,23.1,19.3,21.8,5.1
2015-11-08,11,0,1.5,80,1,1.3,1,0.7,0.5,30,26.3,20.6,24.4,0
2015-11-09,11,7.6,6,86,0.1,4.2,2.6,1.6,0.6,32,27.8,21.7,25.8,0
2015-11-10,11,0,8.7,75,0.5,4.4,4.1,3.9,3.1,33.5,27.9,19.6,25.2,0
2015-11-11,11,0,7.1,67,0.4,2.2,2.2,2.1,1.3,33.5,28.3,20.6,25.7,0
2015-11-12,11,0,8.5,75,0.2,0.6,0.5,0.5,0.4,33.5,29.1,22.5,26.9,7
2015-11-13,11,0,2.3,87,0.8,0.4,0.4,0.3,0.3,31.1,26.9,20.5,24.7,8.1
2015-11-14,11,8,6.4,87,0.9,10.4,9,8.1,7.2,29.4,25,18.4,22.8,8.8
2015-11-15,11,5.7,5.3,80,0.2,9.6,8.3,7.5,5.6,30.8,26.8,20.8,24.8,7.7
2015-11-16,11,0,4,67.3,0.1,3.7,3.3,3.1,1.8,28.6,26,22.2,24.7,6.8
2015-11-17,11,0,3,88,0.7,0.5,0.3,0.2,0,30.7,26.7,20.7,24.7,7
2015-11-18,11,8.4,8.6,81,0.4,11.3,9.7,8.7,6.1,32.2,27.5,20.6,25.2,7.3
2015-11-19,11,0,7.7,81,0.8,3.6,3.3,3.1,2.9,31,27.6,22.7,26,6.2
2015-11-20,11,15.4,3.7,82,0.7,21.9,18.4,16.1,13.8,27.3,23.9,18.8,22.2,5.8
2015-11-21,11,23.8,7.8,75,0.3,43.6,37.8,33.9,22.8,23.9,21.5,17.8,20.2,0
2015-11-22,11,0,8.3,75,0.9,11.7,9.9,8.7,7.5,33.7,28.5,20.7,25.9,0
2015-11-23,11,3.4,0.1,94,0.8,9.1,8,7.3,6.2,24.8,23.2,20.9,22.4,0
2015-11-24,11,4.8,0,92,1,5.1,1.8,0.1,0.1,22.7,21.5,19.7,20.9,0
2015-11-25,11,3.3,0,87,0.3,5.4,2.1,0,0.1,27.3,25.2,22.2,24.2,0
2015-11-26,11,0,6.6,72,0.1,2.5,2.1,1.8,1.5,28.9,24.3,17.4,22,0
2015-11-27,11,0,10.1,76,0.5,1.9,1.8,1.8,1.4,30.4,25.1,17.2,22.5,0
2015-11-28,11,0,4.9,86,0.9,1,1,1,1,32.4,28.1,21.5,25.9,7.7
2015-11-29,11,55,1.6,84,0.7,88.5,80,74.2,53.1,26,23.1,18.6,21.6,8.9
2015-11-30,11,1.2,2.9,75,0.6,32,27.6,24.6,14.8,25.5,23,19.3,21.8,0
2015-12-01,12,0,4.6,77,0.5,5,3.9,3.1,2.3,29.5,25.5,19.5,23.5,0
2015-12-02,12,0,8.4,75,0.8,5.5,5.2,5.1,3.7,33.6,28.7,21.3,26.3,0
2015-12-03,12,0.5,2.5,77.5,0.9,2.3,2.1,2.1,2,28,24.7,19.8,23.1,0
2015-12-04,12,0.2,6,74.3,0.3,4,3.9,3.8,2.7,30.6,26.4,20.2,24.3,0
2015-12-05,12,0,7.9,76,0,1.6,1.5,1.5,1.4,30.6,26.4,20.1,24.3,0
2015-12-06,12,0,2,82.8,1,2.7,2.7,2.7,2.6,28,25.6,21.9,24.3,0
2015-12-07,12,5,2.9,76.3,0.7,7.4,5.5,4.3,3.2,27.8,25,20.8,23.6,9.5
2015-12-08,12,0,9.6,73.8,0.4,2.2,1.9,1.6,1.6,30.2,25.5,18.4,23.1,7.2
2015-12-09,12,0,1.6,77.5,1,1.6,1.6,1.5,1.4,29.3,25.7,20.3,23.9,7.6
2015-12-10,12,1.2,3.4,69.3,0.7,1.3,1,0.7,0.5,28.8,26.5,23.1,25.4,7.7
2015-12-11,12,0.5,4.5,75,0.5,1.3,1.1,0.9,0.8,29.2,25.4,19.8,23.5,8.1
2015-12-12,12,0,5.2,81.5,0.9,1.1,1.1,1,1,31.5,27.6,21.8,25.7,8.2
2015-12-13,12,1.5,9.3,67.5,0.4,3,2.6,2.4,1.4,32.2,27.6,20.7,25.3,8.5
2015-12-14,12,0,6.1,72,0.9,0.4,0.3,0.3,0.2,34.5,30.4,24.3,28.4,15
2015-12-15,12,12.4,6,82.5,1,12.8,10.7,9.3,7.9,31,26.4,19.5,24.1,15.4
2015-12-16,12,4.5,1.1,81.3,0.8,15,13.7,12.9,9.1,25.7,23.1,19.1,21.8,13.5
2015-12-17,12,0.6,9.3,70.8,0.3,5.4,4.8,4.4,3.8,32.4,27.9,21.2,25.7,6.3
2015-12-18,12,0,10.6,61.8,0.6,3.3,3.1,3.1,1.9,34,28.3,19.8,25.4,5.8
2015-12-19,12,0,6.5,76.3,0.8,0.7,0.7,0.6,0.6,33.8,28.9,21.7,26.5,9.5
2015-12-20,12,6.9,1,73.5,0.8,6.1,5,4.3,3.3,31.8,27.9,22,25.9,9.8
2015-12-21,12,0.6,4.5,78.8,0.1,2.4,2,1.8,1.5,29.6,26.4,21.5,24.8,8.9
2015-12-22,12,0,9.1,71.8,0.8,2.6,2.4,2.3,2.2,32.2,27.5,20.6,25.2,10.8
2015-12-23,12,33.4,5.7,74.8,0.5,32.3,27.3,23.9,19.4,31.5,27.2,20.9,25.1,13
2015-12-24,12,0,2.8,74,0.4,14.9,13.7,12.9,12,31.3,27.9,22.8,26.2,0
2015-12-25,12,0,1.4,77.3,0.9,11.1,10.6,10.2,8.5,33.2,29.5,23.9,27.7,0
2015-12-26,12,1.7,6.9,72.5,0.9,6.9,5.8,5,4.3,31.6,27.1,20.4,24.9,0
2015-12-27,12,2.2,0.5,88.5,1,3.6,3,2.6,2.2,26.1,23.7,20.2,22.5,0
2015-12-28,12,17.6,0,96,1,14.7,9.3,5.7,2.1,25.7,23.5,20,22.3,0
2015-12-29,12,34.6,0,94.8,0.8,68.9,56.8,48.8,40.8,21.7,20.7,19.2,20.2,0
2015-12-30,12,55,0,88.8,0.8,56,10,0.1,0.1,21.2,20.2,18.7,19.7,0
2015-12-31,12,0.6,3.2,86,1,26.3,15.9,9,2.1,29.5,25.8,20.3,23.9,7
2016-01-01,1,23,2,88.5,0.8,54.2,47.7,43.4,24.7,29.3,26.2,21.5,24.7,7.9
2016-01-02,1,0.4,2,82.5,0.7,6.1,4.4,3.2,2.1,27.8,24.9,20.5,23.4,0
2016-01-03,1,12,0,81.8,0.8,18.6,14.3,11.4,8.4,26.3,24.3,21.4,23.3,0
2016-01-04,1,0.4,8.7,0,0.6,5.5,4,3,2,31.1,25.6,17.4,22.9,0
2016-01-05,1,0,10.7,69,0.2,4.9,4.7,4.5,4.1,32.9,27.8,20.3,25.3,16.1
2016-01-06,1,0,9.8,78,0.1,3.7,3.6,3.5,2.1,34.2,28.7,20.5,26,0
2016-01-07,1,0,9,70,0.5,0.7,0.6,0.6,0.5,33.4,28.3,20.6,25.7,0
2016-01-08,1,0,9.6,80,0.7,1.8,1.7,1.7,1.7,35.6,30.4,22.4,27.7,11.1
2016-01-09,1,7.4,3,80,1,11.6,10.5,9.7,9,32.4,28.5,22.8,26.6,11.2
2016-01-10,1,20.8,0,93,0.8,35.7,31.5,28.8,26,27.2,25.8,23.7,25.1,11.3
2016-01-11,1,47.8,0,94,1,42,15.3,0.1,0.1,25.3,24.2,22.4,23.6,0
2016-01-12,1,20.2,0,98,1,51.7,29.4,14.6,0.1,22.3,21.6,20.6,21.2,5.9
2016-01-13,1,18.8,1.8,84,0.6,53.9,22.9,2.2,0.1,28.4,25.3,20.7,23.7,5.7
2016-01-14,1,0,0.3,83,0.9,8.1,6.6,5.6,4.3,27.4,25.7,23.1,24.8,8
2016-01-15,1,2.4,0.3,85,0.8,3,0.1,0.1,0.1,27.3,25.3,22.2,24.2,7.5
2016-01-16,1,0.8,8.1,75,0.7,3.4,2.6,2.1,1.6,27.4,24.4,19.8,22.9,9.7
2016-01-17,1,0,11.5,66,0.2,2.9,2.7,2.6,1.8,29.9,24.9,17.5,22.4,13.9
2016-01-18,1,0,7.8,69,0,1.1,1,1,0.8,28,25.2,21,23.8,10.9
2016-01-19,1,0,0.5,67,0.5,0.7,0.6,0.6,0.6,24.9,22.1,18.1,20.8,14.5
2016-01-20,1,0,3.3,73,0.3,1,1,1,0.9,27.5,24.6,20.1,23.1,22.8
2016-01-21,1,0,11.2,71,0.2,0.8,0.8,0.8,0.8,27,23.3,17.7,21.5,23.2
2016-01-22,1,0,10.6,73,0.4,1.3,1.3,1.3,0.8,30,25.1,17.9,22.7,22.2
2016-01-23,1,0,10.2,69,0.4,0.3,0.3,0.3,0.3,30.6,25.3,17.2,22.6,21.8
2016-01-24,1,0,7.3,0,0.6,0.6,0.6,0.6,0.5,31,25.2,16.5,22.3,23.7
2016-01-26,1,0,9.7,68,0.7,0.5,0.5,0.5,0.5,34.3,28.8,20.4,26,23.3
2016-01-27,1,1.5,2.8,88,0.8,2.3,2,1.8,1.7,32,28.4,23.1,26.7,23.4
2016-01-28,1,39.4,2.7,72,0.4,15.8,8.2,3.2,0.1,30.5,26,19.2,23.7,15.7
2016-01-29,1,0,7.2,62,0.9,22.1,20.8,19.9,19,27.8,24.8,20.2,23.3,16
2016-01-30,1,8.6,7.8,89,1,20.5,17,14.7,11.7,30.3,26.9,21.8,25.2,16
2016-01-31,1,1.6,10.2,60,0.6,8.6,7.3,6.4,4.8,34.4,29.5,22,27,0
2016-02-01,2,0,10.1,71,0.1,3.1,2.9,2.8,1.5,34.6,29.3,21.2,26.6,0
2016-02-02,2,0,9.6,69,0.5,0.3,0.2,0.2,0.1,33.8,28.8,21.2,26.3,0
2016-02-03,2,0,7.8,66.8,0.6,0.7,0.6,0.6,0.6,35.9,31,23.6,28.6,0
2016-02-04,2,0,6.5,68.5,0.4,0.5,0.5,0.5,0.4,32.5,28.6,22.8,26.7,13.3
2016-02-05,2,0,7.2,72.3,0.8,0.2,0.2,0.2,0.2,32.7,28,20.9,25.6,11.2
2016-02-06,2,4.4,7,84,0.7,8.7,8,7.6,7.1,31.2,27.5,21.8,25.6,14.6
2016-02-07,2,8.2,6.1,75,0.7,14.4,12.6,11.5,8.5,33.3,28.9,22.4,26.7,14.1
2016-02-08,2,5.8,10.7,75,0,5.5,4.1,3.1,2.2,31.7,26.4,18.6,23.8,12
2016-02-09,2,0,10.9,79,0.1,4.6,4.3,4.2,2.7,31.7,27.1,20.1,24.8,11.3
2016-02-10,2,0,6,77,0.6,1.3,1.2,1.1,0.7,33,28.9,22.7,26.8,6.2
2016-02-11,2,0,5.1,81,0.2,0.4,0.3,0.3,0.2,28.5,25.4,20.8,23.9,6.2
2016-02-12,2,0,10.8,68,0.1,1.5,1.5,1.5,1.2,30.3,25.3,18,22.9,10.9
2016-02-13,2,0,8.7,77,0.1,0.9,0.9,0.9,0.6,32.3,26.8,18.6,24.1,10.7
2016-02-14,2,0,9.8,71,0.1,0.3,0.3,0.3,0.3,33.3,26.9,17.3,23.7,12.8
2016-02-15,2,0,2.4,89,0.7,0.4,0.4,0.4,0.4,33.1,29.2,23.4,27.2,8.9
2016-02-16,2,25.6,3.8,83,0.5,40.7,36.1,33.1,21.5,30.5,27.2,22.4,25.6,14
2016-02-17,2,0,6.2,88.3,1,9.9,8.7,7.9,5.2,33.1,28.9,22.8,26.9,5.5
2016-02-18,2,3.9,5.4,79,1,2.5,1.1,0.2,0.1,31.7,27.5,21.1,25.3,0
2016-02-19,2,0.4,7.5,74.5,0.1,0.9,0.6,0.4,0.1,34.2,29.7,22.8,27.4,0
2016-02-20,2,0,8.9,74,0.9,2.7,2.6,2.5,2.4,31.9,27.7,21.3,25.6,0
2016-02-21,2,30.8,0.4,85.5,0.8,11,5.9,2.5,0.1,25.6,23.2,19.7,22,0
2016-02-22,2,0.4,0,86,0.9,12,9.9,8.5,7.1,27.5,25.2,21.8,24.1,0
2016-02-23,2,14.8,0,81,0.4,29.5,23.4,19.3,11.5,26,23.8,20.6,22.8,7.4
2016-02-24,2,0,4.4,81,0.8,3.6,2.2,1.2,0.3,28.4,25.1,20.1,23.4,6.2
2016-02-25,2,3.2,3.5,76.8,0.8,10.7,9.3,8.3,7.4,28.4,24.8,19.5,23.1,6
2016-02-26,2,27,8.1,73.8,0.4,24,18.5,14.8,10.6,31.4,27.1,20.5,24.9,0
2016-02-27,2,0,3.5,85.8,0.8,6.5,5.5,4.8,4.2,30.1,27.8,24.2,26.6,0
2016-02-28,2,5.6,2,87,0.9,8.3,5.2,3.1,1.1,28.3,24.6,19.2,22.8,0
2016-02-29,2,11,0,79.5,0.7,7.8,5.1,3.3,1.5,26.1,24.2,21.5,23.3,0
2016-03-01,3,6.8,0,83,0.9,15.9,11.7,8.8,6.3,21.4,19.4,16.4,18.4,5.4
2016-03-02,3,0.4,1.5,79.3,0.9,3.8,2.8,2.2,1.6,26.2,23,18.1,21.3,0
2016-03-03,3,4.2,2.5,93.5,0.8,11,9.7,8.8,7.9,25.1,22.8,19.3,21.6,5.3
2016-03-04,3,25.8,8.7,79,0.7,28.7,20.6,15.2,13.4,29.1,25.3,19.6,23.4,5.9
2016-03-05,3,0,7.3,74,0.3,11.6,10.5,9.8,6.5,31.5,27.5,21.6,25.6,0
2016-03-06,3,0,5.7,79.5,0.2,3.2,2.8,2.5,2.3,30.8,26.9,21.2,25,0
2016-03-07,3,0,7.9,77.8,0.9,2.8,2.6,2.5,2.4,33.8,29.1,22,26.7,0
2016-03-08,3,0.4,7.1,73,0.8,3.7,3.7,3.6,3.5,30.5,25.5,17.9,23,0
2016-03-09,3,13,7.6,73,0.8,8.9,6.8,5.4,4,31.9,27.8,21.8,25.8,0
2016-03-10,3,2.8,2.2,93.5,0.8,13.3,12,11.1,10.2,27.8,25.4,21.9,24.2,0
2016-03-11,3,84.4,5.7,73.3,0.2,51.3,26.5,9.9,0.1,30.2,26.4,20.5,24.4,0
2016-03-12,3,0,9.7,82.3,0,22.1,18.7,16.5,14.3,30.8,26,18.8,23.6,6.6
2016-03-13,3,0,5.9,73.8,0.5,18.7,17.7,17.1,13.3,26.6,23.7,19.4,22.3,0
2016-03-14,3,0,9,72.5,0.4,9.5,8.7,8.2,7.8,29.2,24.9,18.4,22.7,0
2016-03-15,3,0,7.5,76,0.9,7.5,7.2,7,6.8,31.2,26.7,20.1,24.5,0
2016-03-16,3,11.4,1.3,71.3,0.2,15.7,12.8,10.9,10.3,29.8,26.8,22.2,25.2,0
2016-03-17,3,0,8.8,70.3,0.3,9.6,8.7,8.1,5.1,30.3,26.6,21,24.8,0
2016-03-18,3,0,10,70.3,0.3,2.1,1.8,1.6,1.5,32.1,27.3,19.9,24.8,0
2016-03-19,3,0,9.4,65.8,0.2,1.3,1.2,1.1,1.1,32.1,26.4,18,23.6,0
2016-03-20,3,0,8.7,70.5,0.3,2.6,2.6,2.6,2.4,32.3,27.2,19.5,24.7,14
2016-03-21,3,0,9.6,70.5,0.2,2.3,2.3,2.3,1.4,31.5,27,20.3,24.7,13.1
2016-03-22,3,0,1.2,76.3,0.5,0.6,0.6,0.6,0.6,29,25.3,19.8,23.5,15.5
2016-03-23,3,0,5.7,74,0.8,2.1,2.1,2.1,2.1,30.6,25.7,18.4,23.3,13.3
2016-03-24,3,33,4.1,79.3,0.8,32.4,27.7,24.5,21.4,30.9,26.4,19.7,24.2,14.4
2016-03-25,3,16.4,1.8,82.8,0.8,47.9,43.8,41,25.8,29.4,26.3,21.5,24.7,8.5
2016-03-26,3,3.2,6.5,66.5,0.9,10.7,8.1,6.3,4.6,30.7,27.1,21.7,25.3,0
2016-03-27,3,6.6,7.2,79.8,0.6,12,10,8.7,5.1,33,29.2,23.5,27.3,0
2016-03-28,3,0,9.3,76.3,0.2,1.5,1.1,0.9,0.7,34.1,29.4,22.2,27,0
2016-03-29,3,0,6.9,81.5,0,0.6,0.5,0.4,0.3,33.5,29.3,22.9,27.2,0
2016-03-30,3,0,6.8,71.3,0.5,1.9,1.8,1.8,1.7,34.4,29.6,22.5,27.3,0
2016-03-31,3,0,7.4,77.5,0.7,1.6,1.6,1.6,1.5,33.1,28.2,20.9,25.7,0
2016-04-01,4,13,8.6,70.3,0.4,3.9,2,0.7,0.1,31,26.3,19.2,23.9,10.9
2016-04-02,4,0,9.9,73.5,0.3,8.1,7.7,7.4,4.1,31.3,26,18,23.3,8.3
2016-04-03,4,0,9.4,70.5,0.3,0.8,0.7,0.6,0.5,33.5,28.7,21.4,26.2,8.5
2016-04-04,4,0,9.5,71.5,0.2,2.3,2.3,2.2,1.4,31.9,28,22.2,26,14.5
2016-04-05,4,0,9.4,69,0.1,0.5,0.4,0.4,0.3,31,26.4,19.4,24.1,19.2
2016-04-06,4,0,9.8,70.3,0.7,0.3,0.3,0.2,0.2,33.1,28,20.3,25.5,22.3
2016-04-07,4,0,9.9,66.5,0.1,0.8,0.8,0.8,0.8,33.6,27.8,19.3,25,23
2016-04-08,4,0,9,68.5,0.7,0.9,0.9,0.9,0.8,32,26.6,18.6,23.9,21.8
2016-04-09,4,0,7.8,67.8,0.4,0.7,0.7,0.7,0.7,35.8,30.5,22.4,27.8,22.8
2016-04-10,4,0,7,68.5,0.8,1.6,1.6,1.6,1.5,32.1,27,19.5,24.5,15.7
2016-04-11,4,0.6,7.1,72.3,0.3,1.3,1.3,1.3,1.2,33.7,29.2,22.5,26.9,21.6
2016-04-12,4,0,8.2,69.8,0.6,1.1,1.1,1.1,1.1,34.2,29.6,22.6,27.3,20.8
2016-04-13,4,0,8.9,70.3,0.2,1.3,1.3,1.3,1.3,31.4,26.6,19.4,24.2,20.9
2016-04-14,4,0,8.9,65.3,0.5,1.2,1.2,1.2,1.2,33.5,28.3,20.6,25.8,20.5
2016-04-15,4,0,6.1,72.5,0.2,1.6,1.6,1.6,1.6,31.5,27,20.1,24.7,21.5
2016-04-16,4,0,8.1,64.3,0.1,2.2,2.2,2.2,2.2,34.2,29.4,22.2,27,20.5
2016-04-17,4,0,9.4,61,0.2,2.4,2.3,2.3,2.1,30.9,25.9,18.2,23.3,19.4
2016-04-18,4,0,9.5,61.5,0.3,1.8,1.8,1.8,1.8,31,26,18.5,23.5,18.9
2016-04-19,4,0,9.2,63,0,2.2,2.2,2.2,2.2,31.8,27.4,20.6,25.1,19.6
2016-04-20,4,0,9.1,66.5,0.3,2.6,2.6,2.6,1.7,30.8,26.6,20.2,24.5,18.5
2016-04-21,4,0,9.4,62,0.6,0.8,0.8,0.8,0.8,32,27.4,20.6,25.1,18.1
2016-04-22,4,0,8.6,65.8,0.2,2.3,2.3,2.3,2.2,31.1,25.4,17,22.6,21
2016-04-23,4,0,9.2,65,0.1,2.1,2.1,2.1,1.5,32,27.2,20,24.8,18.5
2016-04-24,4,0,7.9,62.5,0.5,0.8,0.8,0.8,0.6,30.6,25.7,18.4,23.3,19.1
2016-04-25,4,0,6.8,62.8,0.8,0.4,0.4,0.4,0.4,33.2,27.9,19.9,25.2,14.3
2016-04-26,4,4.2,2,88.3,1,8.1,7.4,6.9,6.4,27,24.4,20.5,23.1,14.8
2016-04-27,4,5.6,1.4,84,0.5,11.4,9.4,8.2,4.4,18.4,16.8,14.5,16.1,13.5
2016-04-28,4,0,7.6,69.8,0,0.6,0.1,0.1,0.1,23,18.6,11.9,16.3,12.3
2016-04-29,4,0,3.5,76,0.4,2,1.9,1.9,1.2,22,18.6,13.5,16.9,13.2
2016-04-30,4,0,9.2,69.3,0.6,0.5,0.5,0.5,0.3,22.4,17.3,9.5,14.7,13.2
2016-05-01,5,0,9.2,63.8,0.7,0.2,0.2,0.2,0.2,21.2,15.7,7.5,12.9,12.4
2016-05-02,5,0,9,82.5,0,0.4,0.4,0.4,0.4,26.4,20.1,10.6,16.9,12.7
2016-05-03,5,0,9.1,70.3,0.2,0.6,0.6,0.6,0.5,25.6,19.4,10,16.2,23
2016-05-04,5,0,9.1,68.5,0.5,0.4,0.4,0.4,0.4,29.4,23.7,15.3,20.9,24
2016-05-05,5,0,5.4,72.5,0.6,0.6,0.6,0.6,0.6,27.6,22.6,15,20.1,23.9
2016-05-06,5,0,8.8,72,0.3,0.6,0.6,0.6,0.6,29.4,24.1,16.1,21.4,23.7
2016-05-07,5,0,1.5,76.3,0.3,0.8,0.8,0.8,0.6,26.7,23.5,18.5,21.8,23.8
2016-05-08,5,0,1.1,82.8,0.2,0.4,0.4,0.4,0.3,24.6,21.6,17.1,20.1,23.3
2016-05-09,5,0,2.2,76.3,1,0.2,0.2,0.2,0.2,26.9,23.5,18.3,21.8,16.1
2016-05-10,5,2,0.8,83.3,0.1,3.1,2.7,2.3,1.7,24.8,22.7,19.5,21.6,24.4
2016-05-11,5,0,4.2,76.8,0.4,1,0.8,0.7,0.5,24.3,20.6,15.2,18.8,9.3
2016-05-12,5,0,5.2,75.3,0,0.4,0.3,0.3,0.3,21.7,18.9,14.8,17.6,9.3
2016-05-13,5,0,7.5,73.3,0.3,0.5,0.5,0.5,0.3,24.2,20.6,15.3,18.9,9.4
2016-05-14,5,0,7.9,72.3,0.1,0.1,0.1,0.1,0.1,24.4,21.4,16.9,19.9,14
2016-05-15,5,0,8.9,75.3,0.9,0.1,0.1,0.1,0.1,29.2,23.1,14.1,20.1,9.5
2016-05-16,5,4.9,2.8,82.3,0.9,5.7,5.2,4.8,3.6,25.6,22.1,16.9,20.4,9.5
2016-05-17,5,1.6,7,79.3,1,2.5,1.9,1.5,1,26.5,23.3,18.4,21.7,9.1
2016-05-18,5,4.2,0,91.3,0.9,7.1,6,5.3,4.6,17.7,16,13.6,15.2,9
2016-05-19,5,28.8,0,81.3,0.5,30.1,17.6,9.2,7.2,18.6,16.6,13.5,15.6,8.3
2016-05-20,5,0,9,78.3,0.9,5.1,2.9,1.4,0,26.7,21.8,14.3,19.3,7.1
2016-05-21,5,36.6,0,95.3,0.9,15.5,9.8,6,2.2,21.3,19.3,16.2,18.3,7
2016-05-22,5,13,5.5,84.3,0.8,7.7,0.1,0.1,0.1,27.3,23.4,17.4,21.4,6.5
2016-05-23,5,8.6,8,69.3,0.7,21.5,18.6,16.6,11.6,22.5,19.7,15.4,18.3,9.1
2016-05-24,5,0,3.4,78,0.3,6.6,5.7,5.1,3.2,18.6,15,9.7,13.2,7.1
2016-05-25,5,0,8.4,71.5,0.1,1.4,1.1,0.9,0.8,24.2,20.2,14.1,18.2,7.3
2016-05-26,5,0,8.6,77,0.6,2.6,2.5,2.4,2.4,24.8,19.9,12.6,17.5,8.4
2016-05-27,5,0,4,76.3,0.2,2.3,2.3,2.2,2.1,25.5,21.4,15.4,19.4,10.6
2016-05-28,5,0,7.5,75.3,0.5,2,2,2,1.2,26.6,23.4,18.5,21.7,11
2016-05-29,5,0,1.3,83.5,0.1,0.3,0.3,0.3,0.3,21.7,19.7,16.8,18.8,15.8
2016-05-30,5,0,0,93.8,0.9,1.4,1.4,1.4,1.4,16.3,15,13.2,14.4,8.2
2016-05-31,5,26.4,4.7,88.8,0.7,41.7,26.7,16.7,6.7,26,22.6,17.5,20.9,8.6
2016-06-01,6,22.2,2.1,92.5,0.8,47.9,41.7,37.6,33.5,24.6,22,18.2,20.7,7.2
2016-06-02,6,26.4,6,85.3,0.8,65.5,55.8,49.4,43.3,25.5,22.9,19,21.6,0
2016-06-03,6,10,1.6,95.8,0.9,37.1,31.4,27.6,20.4,22.3,20.1,16.8,19,0
2016-06-04,6,1.6,0.9,96.8,0.9,13.2,10.5,8.8,7,22.5,20.9,18.4,20.1,0
2016-06-05,6,63.2,0.9,98,0.7,27.2,0,0.1,0.1,21.9,12.6,6,8,0
2016-06-06,6,41.3,0.1,91.8,0.9,56.2,51.6,48.5,33.2,24.3,14.6,0,9.7,0
2016-06-07,6,16.6,0,93.8,0.3,17.8,15.3,13.6,11.4,18.1,15.8,12.4,14.6,0
2016-06-08,6,0,8.1,82.8,0.7,9.3,6.9,5.3,3.7,21.2,17.7,12.4,15.9,0
2016-06-09,6,0,7.8,78.8,0.5,7.1,6.5,6.1,5.4,18.4,13.7,6.5,11.3,0
2016-06-10,6,0,6.1,72,0.5,4.6,4.4,4.3,3.2,21.3,15.8,7.6,13,0
2016-06-11,6,0,7.9,73.3,0.5,2.2,2.1,2.1,2,18.2,12.8,4.7,10.1,0
2016-06-12,6,0,8.3,67.3,0.1,3.1,3,3,2.3,16.9,11.4,3.1,8.6,0
2016-06-13,6,0,8.2,62,0.4,1.7,1.6,1.6,1.6,20.7,14.2,4.3,10.9,7.2
2016-06-14,6,0,8,71,0.1,4.6,4.6,4.6,4.2,24.8,20,12.9,17.6,17.3
2016-06-15,6,0,8,80,0.2,3.9,3.9,3.8,3.8,23.6,17.5,8.3,14.4,11.5
2016-06-16,6,0,7.9,75.3,0.5,4,4,4,2.4,25.4,19.6,10.9,16.7,13.9
2016-06-17,6,0,8.1,73.8,0.5,0.8,0.8,0.8,0.8,26.6,20.9,12.5,18.1,14.6
2016-06-18,6,0,7.8,75.5,0.1,3.4,3.4,3.4,3.4,26.6,21,12.5,18.2,19.7
2016-06-19,6,0,6.6,78.3,0.2,4.3,4.3,4.3,4,25.6,20.7,13.3,18.2,15
2016-06-20,6,0,7.1,77.3,0.3,3.7,3.7,3.7,2.7,18.8,15.4,10.3,13.7,6.8
2016-06-21,6,0,5.3,75.3,0.2,1.7,1.7,1.7,1.7,18.9,16.2,12.3,14.9,8.6
2016-06-22,6,0,2,80,0.1,1.6,1.6,1.6,1.6,20.2,17.4,13.1,15.9,10.7
